Date,AMZN,MSFT,AAPL,INTC,CSCO,FB,GOOG,TSLA,NFLX,SHOP,IBM,ADBE,BABA,PYPL,DELL
2017-03-31,886.5399780273438,65.86000061035156,35.915000915527344,36.06999969482422,33.79999923706055,142.0500030517578,829.5599975585938,55.65999984741211,147.80999755859375,68.08999633789062,166.48184204101562,130.1300048828125,107.83000183105469,43.02000045776367,17.983642578125
2017-04-03,891.510009765625,65.55000305175781,35.92499923706055,36.15999984741211,33.58000183105469,142.27999877929688,838.5499877929688,59.70399856567383,146.9199981689453,69.2300033569336,166.8260040283203,129.58999633789062,108.08999633789062,42.630001068115234,17.91909408569336
2017-04-04,906.8300170898438,65.7300033569336,36.192501068115234,36.279998779296875,33.40999984741211,141.72999572753906,834.5700073242188,60.7400016784668,145.5,68.52999877929688,166.84512329101562,130.0399932861328,107.5199966430664,42.720001220703125,18.011707305908203
2017-04-05,909.280029296875,65.55999755859375,36.005001068115234,36.220001220703125,33.0,141.85000610351562,831.4099731445312,59.0,143.6199951171875,67.88999938964844,165.27725219726562,129.88999938964844,107.44000244140625,42.88999938964844,17.96680450439453
2017-04-06,898.280029296875,65.7300033569336,35.915000915527344,36.029998779296875,33.08000183105469,141.1699981689453,827.8800048828125,59.7400016784668,143.74000549316406,68.5199966430664,164.86614990234375,130.14999389648438,108.04000091552734,42.900001525878906,18.01732063293457
2017-04-07,894.8800048828125,65.68000030517578,35.834999084472656,36.029998779296875,32.959999084472656,140.77999877929688,824.6699829101562,60.507999420166016,143.11000061035156,68.70999908447266,164.56979370117188,130.22000122070312,108.98999786376953,43.040000915527344,18.205350875854492
2017-04-10,907.0399780273438,65.52999877929688,35.79249954223633,35.79999923706055,33.0099983215332,141.0399932861328,824.72998046875,62.47800064086914,143.85000610351562,69.27999877929688,163.67112731933594,130.16000366210938,111.69999694824219,43.04999923706055,18.216577529907227
2017-04-11,902.3599853515625,65.4800033569336,35.407501220703125,35.7400016784668,32.91999816894531,139.9199981689453,823.3499755859375,61.742000579833984,144.35000610351562,69.05999755859375,163.07839965820312,129.9499969482422,110.44000244140625,42.689998626708984,18.272705078125
2017-04-12,896.22998046875,65.2300033569336,35.45000076293945,35.630001068115234,32.619998931884766,139.5800018310547,824.3200073242188,59.36800003051758,143.8300018310547,69.25,163.15487670898438,129.3800048828125,110.62999725341797,42.4900016784668,17.93312644958496
2017-04-13,884.6699829101562,64.94999694824219,35.26250076293945,35.25,32.41999816894531,139.38999938964844,823.5599975585938,60.79999923706055,142.9199981689453,70.62999725341797,162.07456970214844,129.0500030517578,110.20999908447266,42.54999923706055,17.938739776611328
2017-04-17,901.989990234375,65.4800033569336,35.45750045776367,35.47999954223633,32.61000061035156,141.4199981689453,837.1699829101562,60.28799819946289,147.25,71.69999694824219,163.57553100585938,129.99000549316406,111.76000213623047,43.099998474121094,18.03135108947754
2017-04-18,903.780029296875,65.38999938964844,35.29999923706055,35.77000045776367,32.66999816894531,140.9600067138672,836.8200073242188,60.04999923706055,143.36000061035156,71.58000183105469,162.5717010498047,129.80999755859375,111.2300033569336,43.09000015258789,18.070642471313477
2017-04-19,899.2000122070312,65.04000091552734,35.16999816894531,35.90999984741211,32.650001525878906,142.27000427246094,838.2100219726562,61.104000091552734,139.75999450683594,72.63999938964844,154.579345703125,130.22000122070312,110.76000213623047,43.29999923706055,18.109933853149414
2017-04-20,902.0599975585938,65.5,35.61000061035156,36.18000030517578,32.83000183105469,143.8000030517578,841.6500244140625,60.50199890136719,141.17999267578125,76.05999755859375,155.1625213623047,131.4199981689453,112.95999908447266,43.689998626708984,18.21377182006836
2017-04-21,898.530029296875,66.4000015258789,35.567501068115234,36.31999969482422,32.81999969482422,143.67999267578125,843.1900024414062,61.119998931884766,142.8699951171875,76.37999725341797,153.32696533203125,131.52000427246094,113.11000061035156,43.810001373291016,18.07906150817871
2017-04-24,907.4099731445312,67.52999877929688,35.90999984741211,36.75,33.279998779296875,145.47000122070312,862.760009765625,61.60599899291992,143.8300018310547,75.83000183105469,153.68069458007812,132.88999938964844,114.86000061035156,44.27000045776367,18.572994232177734
2017-04-25,907.6199951171875,67.91999816894531,36.13249969482422,36.869998931884766,33.41999816894531,146.49000549316406,872.2999877929688,62.757999420166016,152.16000366210938,76.6500015258789,153.33651733398438,133.49000549316406,115.4800033569336,44.709999084472656,18.620704650878906
2017-04-26,909.2899780273438,67.83000183105469,35.91999816894531,36.93000030517578,33.400001525878906,146.55999755859375,871.72998046875,62.034000396728516,150.1699981689453,74.12000274658203,153.02102661132812,132.7899932861328,114.97000122070312,44.40999984741211,18.819961547851562
2017-04-27,918.3800048828125,68.2699966430664,35.9474983215332,37.43000030517578,33.75,147.6999969482422,874.25,61.72600173950195,153.0800018310547,73.08999633789062,153.26959228515625,133.3800048828125,115.43000030517578,47.150001525878906,18.923799514770508
2017-04-28,924.989990234375,68.45999908447266,35.912498474121094,36.150001525878906,34.06999969482422,150.25,905.9600219726562,62.81399917602539,152.1999969482422,75.94999694824219,153.2409210205078,133.74000549316406,115.5,47.720001220703125,18.833993911743164
2017-05-01,948.22998046875,69.41000366210938,36.64500045776367,36.310001373291016,33.970001220703125,152.4600067138672,912.5700073242188,64.56600189208984,155.35000610351562,77.26000213623047,151.8546905517578,135.11000061035156,116.68000030517578,47.540000915527344,18.963088989257812
2017-05-02,946.9400024414062,69.30000305175781,36.877498626708984,36.970001220703125,34.2400016784668,152.77999877929688,916.4400024414062,63.77799987792969,156.4499969482422,82.9800033569336,152.10325622558594,135.0,118.08999633789062,49.04999923706055,18.783477783203125
