Date,PFE,JNJ,MRK,AZN,SNY,NVO,GSK,ABBV,AMGN,BIIB,NVS,LLY,BAX,UNH,MOH,BG,AGRO,MOS,ICL,CF,CAT,ADM,SMG,LAND,TSN,FMC,AGCO,TSCO,DE,UFPI,GS,C,V,MA,JPM,MS,AXP,BAC,BMO,PNC,ICE,WFC,CME,COF,LFC,AMZN,MSFT,AAPL,INTC,CSCO,FB,GOOG,TSLA,NFLX,SHOP,IBM,ADBE,BABA,PYPL,DELL
2017-03-31,32.457305908203125,124.5500030517578,60.6297721862793,31.13999938964844,45.25,34.279998779296875,42.15999984741211,65.16000366210938,164.07000732421875,273.4200134277344,66.55017852783203,84.11000061035156,51.86000061035156,164.00999450683594,45.59999847412109,79.26000213623047,11.460000038146973,29.18000030517578,4.260000228881836,29.350000381469727,92.76000213623048,46.040000915527344,93.38999938964844,11.100000381469728,61.709999084472656,60.355594635009766,60.18000030517578,68.97000122070312,108.86000061035156,32.8466682434082,229.72000122070312,59.81999969482422,88.87000274658203,112.47000122070312,87.83999633789062,42.84000015258789,79.11000061035156,23.59000015258789,74.79000091552734,120.23999786376952,59.869998931884766,55.65999984741211,118.8000030517578,86.66000366210938,15.329999923706056,886.5399780273438,65.86000061035156,35.915000915527344,36.06999969482422,33.79999923706055,142.0500030517578,829.5599975585938,55.65999984741211,147.80999755859375,68.08999633789062,166.48184204101562,130.1300048828125,107.83000183105467,43.02000045776367,17.983642578125
2017-04-03,32.48576736450195,124.69000244140624,60.5629768371582,31.13999938964844,45.13999938964844,34.36000061035156,42.02999877929688,65.02999877929688,163.88999938964844,272.69000244140625,66.66666412353516,84.44999694824219,52.290000915527344,165.58999633789062,47.31999969482422,78.72000122070312,11.550000190734863,28.90999984741211,4.21999979019165,28.420000076293945,92.2699966430664,45.79999923706055,93.25,11.170000076293944,61.97999954223633,61.04076385498047,60.4900016784668,68.18000030517578,108.77999877929688,31.083332061767575,228.9600067138672,59.68000030517578,89.36000061035156,112.23999786376952,87.5199966430664,42.709999084472656,78.58999633789062,23.59000015258789,74.56999969482422,119.83999633789062,59.31999969482422,55.4900016784668,117.5,85.80000305175781,15.399999618530272,891.510009765625,65.55000305175781,35.92499923706055,36.15999984741211,33.58000183105469,142.27999877929688,838.5499877929688,59.70399856567383,146.9199981689453,69.2300033569336,166.8260040283203,129.58999633789062,108.08999633789062,42.630001068115234,17.91909408569336
2017-04-04,32.58064651489258,124.68000030517578,60.75381851196289,31.280000686645508,45.4900016784668,36.04999923706055,42.040000915527344,65.11000061035156,164.36000061035156,274.239990234375,66.99820709228516,86.08999633789062,52.380001068115234,164.97000122070312,46.060001373291016,78.25,11.550000190734863,29.15999984741211,4.190000057220459,29.229999542236328,94.12999725341795,45.40999984741211,92.7699966430664,11.220000267028809,62.06999969482422,61.90806579589844,60.59000015258789,68.98999786376953,109.5,31.71999931335449,229.25999450683597,59.68000030517578,88.77999877929688,112.08999633789062,87.30999755859375,42.5099983215332,78.26000213623047,23.440000534057617,74.55999755859375,119.1500015258789,59.40999984741211,55.20000076293945,117.2699966430664,85.26000213623047,15.4399995803833,906.8300170898438,65.7300033569336,36.192501068115234,36.27999877929688,33.40999984741211,141.72999572753906,834.5700073242188,60.7400016784668,145.5,68.52999877929688,166.84512329101562,130.0399932861328,107.5199966430664,42.720001220703125,18.011707305908203
2017-04-05,32.438331604003906,124.8000030517578,60.65839767456055,30.459999084472656,45.27999877929688,35.689998626708984,41.93000030517578,64.95999908447266,162.24000549316406,270.44000244140625,66.1021499633789,85.62999725341797,52.54999923706055,165.3699951171875,46.09999847412109,77.31999969482422,10.979999542236328,29.0,4.239999771118164,28.799999237060547,94.23999786376952,45.2599983215332,92.0500030517578,11.0600004196167,61.95000076293945,62.315696716308594,60.52000045776367,68.25,109.25,31.59000015258789,227.66000366210935,59.59000015258789,89.02999877929688,112.06999969482422,86.19000244140625,41.7400016784668,77.76000213623047,23.170000076293945,74.19999694824219,118.29000091552734,59.970001220703125,54.97999954223633,117.5500030517578,84.12999725341797,15.289999961853027,909.280029296875,65.55999755859375,36.005001068115234,36.220001220703125,33.0,141.85000610351562,831.4099731445312,59.0,143.6199951171875,67.88999938964844,165.27725219726562,129.88999938964844,107.44000244140624,42.88999938964844,17.96680450439453
2017-04-06,32.362430572509766,125.0500030517578,60.343509674072266,30.440000534057617,45.310001373291016,35.36000061035156,41.41999816894531,65.08000183105469,162.25,270.94000244140625,66.04838562011719,85.36000061035156,52.52999877929688,165.33999633789062,46.81999969482422,77.05000305175781,11.119999885559082,29.190000534057617,4.309999942779541,29.65999984741211,95.81999969482422,45.25,93.72000122070312,11.149999618530272,62.619998931884766,63.31309509277344,61.380001068115234,69.52999877929688,110.44000244140624,31.850000381469727,228.63999938964844,59.88999938964844,89.08999633789062,112.43000030517578,86.4800033569336,42.09000015258789,77.91999816894531,23.26000022888184,74.44000244140625,119.26000213623048,60.2400016784668,55.369998931884766,117.80999755859376,84.2300033569336,15.279999732971191,898.280029296875,65.7300033569336,35.915000915527344,36.02999877929688,33.08000183105469,141.1699981689453,827.8800048828125,59.7400016784668,143.74000549316406,68.5199966430664,164.86614990234375,130.14999389648438,108.04000091552734,42.900001525878906,18.01732063293457
2017-04-07,32.35293960571289,124.91999816894533,60.238548278808594,30.299999237060547,44.810001373291016,35.400001525878906,41.470001220703125,65.54000091552734,163.3800048828125,268.7300109863281,66.0573501586914,85.31999969482422,52.790000915527344,166.02000427246094,46.470001220703125,75.98999786376953,11.369999885559082,28.850000381469727,4.300000190734863,29.51000022888184,95.5199966430664,44.88999938964844,93.33999633789062,11.130000114440918,62.15999984741211,65.25585174560547,60.95000076293945,69.94000244140625,109.31999969482422,31.94333267211914,227.8800048828125,59.43000030517578,88.73999786376953,112.23999786376952,86.18000030517578,41.95000076293945,77.7699966430664,23.15999984741211,74.75,119.16999816894533,60.77999877929688,54.84000015258789,117.98999786376952,83.54000091552734,15.1899995803833,894.8800048828125,65.68000030517578,35.834999084472656,36.02999877929688,32.959999084472656,140.77999877929688,824.6699829101562,60.507999420166016,143.11000061035156,68.70999908447266,164.56979370117188,130.22000122070312,108.98999786376952,43.040000915527344,18.20535087585449
2017-04-10,32.296016693115234,124.33999633789062,59.68511581420898,29.899999618530277,44.58000183105469,35.849998474121094,41.29999923706055,64.97000122070312,162.7899932861328,269.29998779296875,65.86917877197266,85.47000122070312,52.84000015258789,165.47999572753906,47.06999969482422,76.62999725341797,11.699999809265137,28.940000534057617,4.260000228881836,29.86000061035156,97.13999938964844,44.9900016784668,93.83000183105467,11.109999656677246,62.650001525878906,65.24718475341797,61.08000183105469,70.41000366210938,109.62999725341795,32.07666778564453,228.88999938964844,59.27999877929688,88.86000061035156,112.31999969482422,85.87999725341797,41.90999984741211,77.48999786376953,23.020000457763672,74.95999908447266,118.37000274658205,60.400001525878906,54.540000915527344,117.08999633789062,82.7699966430664,14.93000030517578,907.0399780273438,65.52999877929688,35.79249954223633,35.79999923706055,33.0099983215332,141.0399932861328,824.72998046875,62.47800064086914,143.85000610351562,69.27999877929688,163.67112731933594,130.16000366210938,111.6999969482422,43.04999923706055,18.216577529907227
2017-04-11,32.191650390625,124.22000122070312,59.71374130249024,30.18000030517578,45.16999816894531,36.02000045776367,41.77999877929688,64.18000030517578,163.11000061035156,268.6499938964844,66.27239990234375,85.93000030517578,52.970001220703125,165.8300018310547,47.84999847412109,76.8499984741211,11.600000381469728,28.690000534057617,4.260000228881836,29.649999618530277,97.0999984741211,44.540000915527344,94.11000061035156,11.130000114440918,62.86000061035156,65.37727355957031,60.77999877929688,70.47000122070312,111.16000366210938,32.79999923706055,227.7400054931641,59.02999877929688,88.8499984741211,112.11000061035156,85.7300033569336,41.58000183105469,77.26000213623047,22.920000076293945,74.12000274658203,118.02999877929688,60.290000915527344,54.15999984741211,117.06999969482422,83.08999633789062,14.779999732971191,902.3599853515624,65.4800033569336,35.407501220703125,35.7400016784668,32.91999816894531,139.9199981689453,823.3499755859375,61.742000579833984,144.35000610351562,69.05999755859375,163.07839965820312,129.9499969482422,110.44000244140624,42.68999862670898,18.272705078125
2017-04-12,32.18216323852539,125.4000015258789,60.16221237182617,30.13999938964844,45.38999938964844,36.150001525878906,41.86000061035156,64.37000274658203,163.0500030517578,268.9200134277344,66.31720733642578,86.25,53.52999877929688,165.55999755859375,47.2599983215332,77.19000244140625,11.579999923706056,28.149999618530277,4.320000171661377,28.6200008392334,94.86000061035156,44.650001525878906,93.58000183105467,11.229999542236328,64.26000213623047,63.21769332885742,58.869998931884766,64.61000061035156,109.3499984741211,32.176666259765625,225.75,58.5099983215332,88.68000030517578,111.47000122070312,85.4000015258789,41.06999969482422,76.68000030517578,22.649999618530277,74.0999984741211,116.0,59.83000183105469,53.119998931884766,116.62000274658205,82.41999816894531,14.770000457763672,896.22998046875,65.2300033569336,35.45000076293945,35.630001068115234,32.619998931884766,139.5800018310547,824.3200073242188,59.36800003051758,143.8300018310547,69.25,163.15487670898438,129.3800048828125,110.62999725341795,42.4900016784668,17.93312644958496
2017-04-13,32.14421463012695,124.98999786376952,59.74236679077149,30.13999938964844,45.650001525878906,35.75,41.810001373291016,64.12999725341797,161.61000061035156,271.8800048828125,65.54659271240234,85.87999725341797,53.25,164.9600067138672,47.66999816894531,76.51000213623047,11.479999542236328,27.459999084472656,4.190000057220459,28.420000076293945,93.0999984741211,44.27999877929688,93.44000244140624,11.270000457763672,63.470001220703125,62.93148422241211,58.02999877929688,63.540000915527344,108.0,31.663333892822266,223.32000732421875,58.040000915527344,88.87000274658203,111.22000122070312,84.4000015258789,40.68999862670898,75.80000305175781,22.34000015258789,73.05000305175781,115.8000030517578,59.41999816894531,51.34999847412109,115.87000274658205,81.0199966430664,14.600000381469728,884.6699829101562,64.94999694824219,35.26250076293945,35.25,32.41999816894531,139.38999938964844,823.5599975585938,60.79999923706055,142.9199981689453,70.62999725341797,162.07456970214844,129.0500030517578,110.20999908447266,42.54999923706055,17.938739776611328
