Date,PFE,JNJ,MRK,AZN,SNY,NVO,GSK,ABBV,AMGN,BIIB,NVS,LLY,BAX,UNH,MOH
2017-03-31,32.457305908203125,124.55000305175781,60.6297721862793,31.139999389648438,45.25,34.279998779296875,42.15999984741211,65.16000366210938,164.07000732421875,273.4200134277344,66.55017852783203,84.11000061035156,51.86000061035156,164.00999450683594,45.599998474121094
2017-04-03,32.48576736450195,124.69000244140625,60.5629768371582,31.139999389648438,45.13999938964844,34.36000061035156,42.029998779296875,65.02999877929688,163.88999938964844,272.69000244140625,66.66666412353516,84.44999694824219,52.290000915527344,165.58999633789062,47.31999969482422
2017-04-04,32.58064651489258,124.68000030517578,60.75381851196289,31.280000686645508,45.4900016784668,36.04999923706055,42.040000915527344,65.11000061035156,164.36000061035156,274.239990234375,66.99820709228516,86.08999633789062,52.380001068115234,164.97000122070312,46.060001373291016
2017-04-05,32.438331604003906,124.80000305175781,60.65839767456055,30.459999084472656,45.279998779296875,35.689998626708984,41.93000030517578,64.95999908447266,162.24000549316406,270.44000244140625,66.1021499633789,85.62999725341797,52.54999923706055,165.3699951171875,46.099998474121094
2017-04-06,32.362430572509766,125.05000305175781,60.343509674072266,30.440000534057617,45.310001373291016,35.36000061035156,41.41999816894531,65.08000183105469,162.25,270.94000244140625,66.04838562011719,85.36000061035156,52.529998779296875,165.33999633789062,46.81999969482422
2017-04-07,32.35293960571289,124.91999816894531,60.238548278808594,30.299999237060547,44.810001373291016,35.400001525878906,41.470001220703125,65.54000091552734,163.3800048828125,268.7300109863281,66.0573501586914,85.31999969482422,52.790000915527344,166.02000427246094,46.470001220703125
2017-04-10,32.296016693115234,124.33999633789062,59.685115814208984,29.899999618530273,44.58000183105469,35.849998474121094,41.29999923706055,64.97000122070312,162.7899932861328,269.29998779296875,65.86917877197266,85.47000122070312,52.84000015258789,165.47999572753906,47.06999969482422
2017-04-11,32.191650390625,124.22000122070312,59.713741302490234,30.18000030517578,45.16999816894531,36.02000045776367,41.779998779296875,64.18000030517578,163.11000061035156,268.6499938964844,66.27239990234375,85.93000030517578,52.970001220703125,165.8300018310547,47.849998474121094
2017-04-12,32.18216323852539,125.4000015258789,60.16221237182617,30.139999389648438,45.38999938964844,36.150001525878906,41.86000061035156,64.37000274658203,163.0500030517578,268.9200134277344,66.31720733642578,86.25,53.529998779296875,165.55999755859375,47.2599983215332
2017-04-13,32.14421463012695,124.98999786376953,59.742366790771484,30.139999389648438,45.650001525878906,35.75,41.810001373291016,64.12999725341797,161.61000061035156,271.8800048828125,65.54659271240234,85.87999725341797,53.25,164.9600067138672,47.66999816894531
2017-04-17,32.25806427001953,125.72000122070312,59.92366409301758,30.149999618530273,45.529998779296875,36.09000015258789,41.84000015258789,64.30999755859375,162.11000061035156,274.04998779296875,65.7078857421875,82.37999725341797,52.81999969482422,167.17999267578125,47.83000183105469
2017-04-18,32.10626220703125,121.81999969482422,59.417938232421875,29.760000228881836,44.45000076293945,36.189998626708984,41.279998779296875,63.650001525878906,161.25,271.1600036621094,65.3494644165039,81.19999694824219,52.72999954223633,168.58999633789062,47.63999938964844
2017-04-19,31.888046264648438,121.37000274658203,59.770992279052734,29.770000457763672,44.310001373291016,36.310001373291016,40.84000015258789,63.45000076293945,161.25999450683594,271.94000244140625,65.17921447753906,80.88999938964844,52.709999084472656,169.25,48.04999923706055
2017-04-20,32.01138687133789,121.87000274658203,59.685115814208984,29.899999618530273,44.790000915527344,36.400001525878906,40.709999084472656,63.779998779296875,162.0399932861328,272.4599914550781,65.96774291992188,81.94000244140625,52.88999938964844,171.5399932861328,47.86000061035156
2017-04-21,31.9165096282959,121.76000213623047,59.05534362792969,29.760000228881836,44.09000015258789,35.880001068115234,40.779998779296875,63.81999969482422,160.41000366210938,272.94000244140625,65.7706069946289,81.88999938964844,52.880001068115234,171.16000366210938,47.810001373291016
2017-04-24,32.01138687133789,122.88999938964844,59.29389190673828,30.239999771118164,45.900001525878906,36.540000915527344,41.119998931884766,64.66000366210938,163.13999938964844,276.8599853515625,66.8548355102539,83.41999816894531,53.45000076293945,172.3300018310547,48.459999084472656
2017-04-25,32.03036117553711,123.43000030517578,59.446563720703125,30.489999771118164,46.400001525878906,37.08000183105469,41.47999954223633,65.0999984741211,164.6999969482422,286.8900146484375,68.31541442871094,81.19999694824219,53.209999084472656,174.0399932861328,49.18000030517578
