Date,BG,AGRO,MOS,ICL,CF,CAT,ADM,SMG,LAND,TSN,FMC,AGCO,TSCO,DE,UFPI
2017-03-31,79.26000213623047,11.460000038146973,29.18000030517578,4.260000228881836,29.350000381469727,92.76000213623047,46.040000915527344,93.38999938964844,11.100000381469727,61.709999084472656,60.355594635009766,60.18000030517578,68.97000122070312,108.86000061035156,32.8466682434082
2017-04-03,78.72000122070312,11.550000190734863,28.90999984741211,4.21999979019165,28.420000076293945,92.2699966430664,45.79999923706055,93.25,11.170000076293945,61.97999954223633,61.04076385498047,60.4900016784668,68.18000030517578,108.77999877929688,31.083332061767578
2017-04-04,78.25,11.550000190734863,29.15999984741211,4.190000057220459,29.229999542236328,94.12999725341797,45.40999984741211,92.7699966430664,11.220000267028809,62.06999969482422,61.90806579589844,60.59000015258789,68.98999786376953,109.5,31.719999313354492
2017-04-05,77.31999969482422,10.979999542236328,29.0,4.239999771118164,28.799999237060547,94.23999786376953,45.2599983215332,92.05000305175781,11.0600004196167,61.95000076293945,62.315696716308594,60.52000045776367,68.25,109.25,31.59000015258789
2017-04-06,77.05000305175781,11.119999885559082,29.190000534057617,4.309999942779541,29.65999984741211,95.81999969482422,45.25,93.72000122070312,11.149999618530273,62.619998931884766,63.31309509277344,61.380001068115234,69.52999877929688,110.44000244140625,31.850000381469727
2017-04-07,75.98999786376953,11.369999885559082,28.850000381469727,4.300000190734863,29.510000228881836,95.5199966430664,44.88999938964844,93.33999633789062,11.130000114440918,62.15999984741211,65.25585174560547,60.95000076293945,69.94000244140625,109.31999969482422,31.94333267211914
2017-04-10,76.62999725341797,11.699999809265137,28.940000534057617,4.260000228881836,29.860000610351562,97.13999938964844,44.9900016784668,93.83000183105469,11.109999656677246,62.650001525878906,65.24718475341797,61.08000183105469,70.41000366210938,109.62999725341797,32.07666778564453
2017-04-11,76.8499984741211,11.600000381469727,28.690000534057617,4.260000228881836,29.649999618530273,97.0999984741211,44.540000915527344,94.11000061035156,11.130000114440918,62.86000061035156,65.37727355957031,60.779998779296875,70.47000122070312,111.16000366210938,32.79999923706055
2017-04-12,77.19000244140625,11.579999923706055,28.149999618530273,4.320000171661377,28.6200008392334,94.86000061035156,44.650001525878906,93.58000183105469,11.229999542236328,64.26000213623047,63.21769332885742,58.869998931884766,64.61000061035156,109.3499984741211,32.176666259765625
2017-04-13,76.51000213623047,11.479999542236328,27.459999084472656,4.190000057220459,28.420000076293945,93.0999984741211,44.279998779296875,93.44000244140625,11.270000457763672,63.470001220703125,62.93148422241211,58.029998779296875,63.540000915527344,108.0,31.663333892822266
2017-04-17,77.02999877929688,11.649999618530273,27.360000610351562,4.25,27.510000228881836,94.13999938964844,44.68000030517578,94.61000061035156,11.300000190734863,64.45999908447266,63.729400634765625,58.93000030517578,63.54999923706055,108.80000305175781,32.483333587646484
2017-04-18,77.83999633789062,11.510000228881836,27.040000915527344,4.179999828338623,27.079999923706055,94.38999938964844,45.40999984741211,95.33000183105469,11.300000190734863,65.23999786376953,64.05030059814453,58.900001525878906,63.709999084472656,108.47000122070312,32.72666549682617
2017-04-19,77.01000213623047,11.420000076293945,26.829999923706055,4.159999847412109,26.600000381469727,93.47000122070312,44.599998474121094,96.31999969482422,11.289999961853027,64.62999725341797,63.738075256347656,58.86000061035156,64.05000305175781,108.22000122070312,31.25
2017-04-20,77.6500015258789,11.420000076293945,27.100000381469727,4.050000190734863,26.579999923706055,94.66000366210938,44.900001525878906,96.88999938964844,11.119999885559082,65.04000091552734,63.6686897277832,60.09000015258789,64.91000366210938,108.80000305175781,31.75666618347168
2017-04-21,77.45999908447266,11.1899995803833,26.670000076293945,4.070000171661377,26.0,94.31999969482422,44.810001373291016,96.75,11.220000267028809,65.13999938964844,63.026885986328125,59.4900016784668,65.5999984741211,107.54000091552734,31.773332595825195
2017-04-24,78.37999725341797,11.229999542236328,27.09000015258789,4.110000133514404,26.40999984741211,96.80999755859375,45.380001068115234,96.95999908447266,11.029999732971191,65.38999938964844,63.8768424987793,61.5,65.55999755859375,110.25,32.06999969482422
2017-04-25,78.5999984741211,11.069999694824219,27.540000915527344,4.210000038146973,27.34000015258789,104.41999816894531,45.58000183105469,97.12000274658203,11.170000076293945,65.12999725341797,63.954898834228516,62.90999984741211,64.95999908447266,113.1500015258789,32.266666412353516
2017-04-26,78.36000061035156,11.029999732971191,27.420000076293945,4.170000076293945,27.260000228881836,104.66000366210938,45.27000045776367,96.95999908447266,11.140000343322754,64.52999877929688,63.74674987792969,63.77000045776367,65.30000305175781,112.55000305175781,32.20333480834961
2017-04-27,78.48999786376953,10.789999961853027,27.450000762939453,4.320000171661377,27.43000030517578,102.68000030517578,45.779998779296875,97.0,11.260000228881836,64.61000061035156,63.77276611328125,64.12000274658203,62.16999816894531,111.18000030517578,32.4033317565918
2017-04-28,79.02999877929688,11.09000015258789,26.93000030517578,4.320000171661377,26.739999771118164,102.26000213623047,45.75,96.5999984741211,11.130000114440918,64.26000213623047,63.512577056884766,63.9900016784668,61.90999984741211,111.61000061035156,31.76333236694336
2017-05-01,77.9800033569336,11.170000076293945,26.8700008392334,4.289999961853027,26.729999542236328,102.0,45.72999954223633,97.0999984741211,11.180000305175781,63.869998931884766,63.75542068481445,64.97000122070312,61.400001525878906,111.97000122070312,31.67333221435547
2017-05-02,75.55000305175781,11.260000228881836,24.950000762939453,4.309999942779541,26.3700008392334,101.51000213623047,41.66999816894531,91.2300033569336,11.149999618530273,63.220001220703125,63.980918884277344,64.1500015258789,62.63999938964844,110.93000030517578,31.57666778564453
