Date,GS,C,V,MA,JPM,MS,AXP,BAC,BMO,PNC,ICE,WFC,CME,COF,LFC
2017-03-31,229.72000122070312,59.81999969482422,88.87000274658203,112.47000122070312,87.83999633789062,42.84000015258789,79.11000061035156,23.59000015258789,74.79000091552734,120.23999786376953,59.869998931884766,55.65999984741211,118.80000305175781,86.66000366210938,15.329999923706055
2017-04-03,228.9600067138672,59.68000030517578,89.36000061035156,112.23999786376953,87.5199966430664,42.709999084472656,78.58999633789062,23.59000015258789,74.56999969482422,119.83999633789062,59.31999969482422,55.4900016784668,117.5,85.80000305175781,15.399999618530273
2017-04-04,229.25999450683594,59.68000030517578,88.77999877929688,112.08999633789062,87.30999755859375,42.5099983215332,78.26000213623047,23.440000534057617,74.55999755859375,119.1500015258789,59.40999984741211,55.20000076293945,117.2699966430664,85.26000213623047,15.4399995803833
2017-04-05,227.66000366210938,59.59000015258789,89.02999877929688,112.06999969482422,86.19000244140625,41.7400016784668,77.76000213623047,23.170000076293945,74.19999694824219,118.29000091552734,59.970001220703125,54.97999954223633,117.55000305175781,84.12999725341797,15.289999961853027
2017-04-06,228.63999938964844,59.88999938964844,89.08999633789062,112.43000030517578,86.4800033569336,42.09000015258789,77.91999816894531,23.260000228881836,74.44000244140625,119.26000213623047,60.2400016784668,55.369998931884766,117.80999755859375,84.2300033569336,15.279999732971191
2017-04-07,227.8800048828125,59.43000030517578,88.73999786376953,112.23999786376953,86.18000030517578,41.95000076293945,77.7699966430664,23.15999984741211,74.75,119.16999816894531,60.779998779296875,54.84000015258789,117.98999786376953,83.54000091552734,15.1899995803833
2017-04-10,228.88999938964844,59.279998779296875,88.86000061035156,112.31999969482422,85.87999725341797,41.90999984741211,77.48999786376953,23.020000457763672,74.95999908447266,118.37000274658203,60.400001525878906,54.540000915527344,117.08999633789062,82.7699966430664,14.930000305175781
2017-04-11,227.74000549316406,59.029998779296875,88.8499984741211,112.11000061035156,85.7300033569336,41.58000183105469,77.26000213623047,22.920000076293945,74.12000274658203,118.02999877929688,60.290000915527344,54.15999984741211,117.06999969482422,83.08999633789062,14.779999732971191
2017-04-12,225.75,58.5099983215332,88.68000030517578,111.47000122070312,85.4000015258789,41.06999969482422,76.68000030517578,22.649999618530273,74.0999984741211,116.0,59.83000183105469,53.119998931884766,116.62000274658203,82.41999816894531,14.770000457763672
2017-04-13,223.32000732421875,58.040000915527344,88.87000274658203,111.22000122070312,84.4000015258789,40.689998626708984,75.80000305175781,22.34000015258789,73.05000305175781,115.80000305175781,59.41999816894531,51.349998474121094,115.87000274658203,81.0199966430664,14.600000381469727
2017-04-17,226.25999450683594,58.9900016784668,89.80999755859375,112.66999816894531,85.86000061035156,41.4900016784668,76.66999816894531,22.809999465942383,74.01000213623047,118.41000366210938,60.099998474121094,52.720001220703125,117.44000244140625,83.0,14.75
2017-04-18,215.58999633789062,58.41999816894531,89.7300033569336,112.5199966430664,85.16000366210938,41.209999084472656,75.79000091552734,22.709999084472656,73.27999877929688,116.41000366210938,60.27000045776367,52.45000076293945,117.0999984741211,81.9000015258789,14.380000114440918
2017-04-19,214.08999633789062,57.72999954223633,89.75,112.29000091552734,84.45999908447266,42.040000915527344,75.55000305175781,22.739999771118164,72.83999633789062,116.4800033569336,59.95000076293945,52.150001525878906,117.16999816894531,81.91000366210938,14.329999923706055
2017-04-20,218.05999755859375,58.40999984741211,91.1500015258789,114.58999633789062,85.55000305175781,42.5,80.0199966430664,23.06999969482422,73.4800033569336,118.83000183105469,60.630001068115234,53.5,119.11000061035156,83.72000122070312,14.640000343322754
2017-04-21,216.86000061035156,57.720001220703125,91.1500015258789,114.2699966430664,84.5199966430664,41.79999923706055,79.58999633789062,22.709999084472656,73.0999984741211,118.16999816894531,60.40999984741211,53.0,118.7699966430664,82.66999816894531,14.529999732971191
2017-04-24,223.22000122070312,59.439998626708984,91.8499984741211,115.69999694824219,87.5,43.560001373291016,80.44999694824219,23.6299991607666,74.05000305175781,120.86000061035156,60.58000183105469,53.650001525878906,119.76000213623047,84.68000030517578,14.739999771118164
2017-04-25,226.6300048828125,60.209999084472656,92.11000061035156,116.12999725341797,88.26000213623047,44.27000045776367,80.62999725341797,23.979999542236328,74.29000091552734,121.11000061035156,60.970001220703125,54.560001373291016,119.94000244140625,85.58000183105469,15.029999732971191
2017-04-26,226.1999969482422,60.099998474121094,91.81999969482422,116.16999816894531,88.43000030517578,44.369998931884766,80.5199966430664,23.889999389648438,73.29000091552734,122.0,61.099998474121094,54.540000915527344,120.04000091552734,83.05999755859375,15.220000267028809
2017-04-27,225.80999755859375,59.38999938964844,91.5999984741211,117.0999984741211,87.61000061035156,43.540000915527344,80.33000183105469,23.649999618530273,70.88999938964844,121.0199966430664,60.209999084472656,54.439998626708984,115.12000274658203,82.30999755859375,15.130000114440918
2017-04-28,223.8000030517578,59.119998931884766,91.22000122070312,116.31999969482422,87.0,43.369998931884766,79.25,23.34000015258789,70.8499984741211,119.75,60.20000076293945,53.84000015258789,116.19000244140625,80.37999725341797,15.1899995803833
2017-05-01,224.85000610351562,59.459999084472656,91.26000213623047,116.37000274658203,87.05999755859375,43.7400016784668,79.2300033569336,23.610000610351562,70.52999877929688,121.1500015258789,60.400001525878906,54.459999084472656,116.63999938964844,81.56999969482422,15.25
2017-05-02,225.1199951171875,59.709999084472656,92.54000091552734,118.12000274658203,86.5,43.349998474121094,79.54000091552734,23.530000686645508,69.91000366210938,120.66000366210938,60.619998931884766,54.540000915527344,117.26000213623047,82.45999908447266,15.199999809265137
